City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,lorengau,-2.0226,147.2712,299.52,82,91,1.49,PG,1687991207
142,canutama,-6.5339,-64.3831,300.49,65,100,1.0,BR,1687991331
143,emerald,-23.5333,148.1667,291.12,65,100,2.92,AU,1687991185
144,scheveningen,52.1046,4.2756,293.68,79,100,1.79,NL,1687991332
145,koropi,37.8989,23.8718,300.78,52,0,0.0,GR,1687991332
146,afaahiti,-17.75,-149.2833,300.08,81,35,8.9,PF,1687991115
147,alesund,62.4723,6.1549,289.76,89,100,3.09,NO,1687991332
148,tweed heads,-28.1817,153.547,291.17,63,100,3.09,AU,1687991333
149,northam,51.0333,-4.2167,289.48,93,83,4.1,GB,1687991139
150,hasaki,35.7333,140.8333,299.42,90,71,1.59,JP,1687991333
151,smithers,54.7804,-127.1743,298.33,38,75,3.09,CA,1687991197
152,mahina,-17.5065,-149.489,301.02,74,40,3.09,PF,1687991157
153,la'ie,21.6477,-157.9253,302.81,67,3,1.79,US,1687991157
154,xianning,29.8833,114.2167,299.57,84,100,2.54,CN,1687991334
155,ocampo,21.65,-101.5,300.83,15,4,6.81,MX,1687991334
156,back mountain,41.3359,-75.9963,294.51,92,98,3.19,US,1687991334
157,salalah,17.0151,54.0924,301.2,89,100,3.09,OM,1687991335
158,puerto santa,-8.9906,-78.6456,295.42,75,4,5.57,PE,1687991190
159,yellowknife,62.456,-114.3525,301.44,34,40,4.12,CA,1687991134
160,lompoc,34.6391,-120.4579,297.98,78,100,6.17,US,1687991055
161,codrington,-38.2667,141.9667,282.03,83,99,4.74,AU,1687991194
162,challapata,-18.9,-66.7667,281.0,16,0,0.59,BO,1687991336
163,ust-nera,64.5667,143.2,295.53,60,2,2.1,RU,1687991180
164,chibougamau,49.9168,-74.3659,292.94,64,75,4.12,CA,1687991336
165,margaret river,-33.95,115.0667,283.64,77,100,2.51,AU,1687991147
166,erdenet,49.0333,104.0833,282.97,67,32,1.5,MN,1687991337
167,gadzhiyevo,69.2551,33.3362,280.76,83,15,3.95,RU,1687991238
168,prince rupert,54.3161,-130.3201,290.2,84,100,9.26,CA,1687991246
169,bayramaly,37.6185,62.1671,300.01,17,0,5.34,TM,1687991337
170,boende,-0.2167,20.8667,295.81,97,78,1.51,CD,1687991338
171,tsiombe,-25.3,45.4833,290.19,91,3,2.17,MG,1687991144
172,queenstown,-31.8976,26.8753,282.59,71,91,3.07,ZA,1687991338
173,arkhangel'sk,64.5401,40.5433,282.17,71,47,1.55,RU,1687991153
174,portland,45.5234,-122.6762,304.55,42,20,2.57,US,1687991074
175,nemuro,43.3236,145.575,286.38,99,100,2.98,JP,1687991233
176,bandon,51.7469,-8.7425,286.92,89,4,2.55,IE,1687991339
177,happy valley-goose bay,53.3168,-60.3315,297.32,60,75,10.8,CA,1687991156
178,banda aceh,5.5577,95.3222,299.94,79,97,4.28,ID,1687991123
179,howrah,22.5892,88.3103,300.15,89,75,1.54,IN,1687991340
180,utrik,11.2278,169.8474,301.16,76,100,8.57,MH,1687991128
181,mar del plata,-38.0023,-57.5575,283.12,75,20,6.71,AR,1687991213
182,buka,40.8108,69.1986,292.53,25,28,1.69,UZ,1687991173
183,port isabel,26.0734,-97.2086,309.2,43,0,8.75,US,1687991341
184,huskvarna,57.786,14.3021,291.15,77,0,3.09,SE,1687991341
185,avarua,-21.2078,-159.775,300.18,89,5,3.09,CK,1687991044
186,araucaria,-25.5931,-49.4103,292.31,78,0,1.03,BR,1687991342
187,vila franca do campo,37.7167,-25.4333,294.38,89,81,5.91,PT,1687991342
188,isangel,-19.55,169.2667,298.21,65,40,0.0,VU,1687990968
189,birzebbuga,35.8258,14.5269,297.68,88,20,4.12,MT,1687991342
190,kapuskasing,49.4169,-82.4331,296.2,25,75,1.03,CA,1687991115
191,port alfred,-33.5906,26.891,290.37,59,47,3.79,ZA,1687991198
192,lihue,21.9789,-159.3672,301.92,76,75,6.69,US,1687991144
193,colonia menno,-22.3667,-59.8167,297.4,49,8,5.14,PY,1687991343
194,sungai penuh,-2.0833,101.3833,290.54,97,65,0.87,ID,1687991343
195,bay roberts,47.5999,-53.2648,296.01,91,78,0.45,CA,1687991344
196,batouri,4.4333,14.3667,293.08,99,99,0.54,CM,1687991344
197,selkirk,50.1436,-96.8845,299.87,71,68,2.21,CA,1687991344
198,namtsy,62.7161,129.6658,294.0,83,32,1.01,RU,1687991344
199,kidal,18.4411,1.4078,309.63,22,13,5.24,ML,1687991179
200,kavaratti,10.5669,72.642,301.35,75,100,7.52,IN,1687991166
201,kourou,5.1552,-52.6478,298.18,86,29,2.27,GF,1687991345
202,masterton,-40.9597,175.6575,284.75,84,56,1.04,NZ,1687991148
203,yulinshi,38.2906,109.7494,294.53,37,72,2.01,CN,1687991250
204,inirida,3.8653,-67.9239,299.98,81,65,0.82,CO,1687991346
205,san fernando,15.0286,120.6898,301.0,91,100,0.4,PH,1687991161
206,hinis,39.3606,41.7022,289.07,58,2,1.86,TR,1687991346
207,maues,-3.3836,-57.7186,300.0,60,98,1.1,BR,1687991201
208,campo formoso,-10.5075,-40.3214,294.12,72,11,3.13,BR,1687991347
209,tobruk,32.0836,23.9764,296.53,86,0,5.0,LY,1687991257
210,college,64.8569,-147.8028,294.93,60,100,2.06,US,1687991138
211,cardenas,23.0375,-81.2047,304.57,64,2,4.79,CU,1687991347
212,minatitlan,17.9833,-94.5167,301.2,89,75,5.14,MX,1687991348
213,shunyi,40.125,116.6453,295.12,83,0,3.0,CN,1687991348
214,conceicao da barra,-18.5933,-39.7322,294.91,84,2,2.12,BR,1687991284
215,antofagasta,-23.65,-70.4,290.75,77,0,1.6,CL,1687990967
216,udachny,66.4167,112.4,285.07,53,99,6.72,RU,1687991058
217,thinadhoo,0.5333,72.9333,300.48,65,66,1.24,MV,1687991212
218,bamboo flat,11.7,92.7167,298.2,88,40,1.03,IN,1687991349
219,mil'kovo,55.6078,37.7956,288.48,99,100,2.0,RU,1687991163
220,alice springs,-23.7,133.8833,281.9,100,100,3.09,AU,1687991349
221,asosa,10.0667,34.5333,290.01,95,100,4.06,ET,1687991350
222,copiapo,-27.3667,-70.3333,285.98,48,0,0.86,CL,1687991337
223,hithadhoo,-0.6,73.0833,300.74,61,83,1.17,MV,1687991111
224,pierre,44.3683,-100.351,302.51,45,0,4.12,US,1687991350
225,jamsankoski,61.919,25.1701,289.42,93,95,0.92,FI,1687991351
226,callao,-12.0667,-77.15,297.44,68,0,5.14,PE,1687991350
227,tocopilla,-22.092,-70.1979,291.33,70,5,2.85,CL,1687991119
228,mugia,43.1041,-9.2179,292.54,86,1,5.62,ES,1687991351
229,luderitz,-26.6481,15.1594,286.97,90,99,1.38,NA,1687991167
230,mhlume,-26.0333,31.85,292.06,89,0,1.29,SZ,1687991352
231,vernon,50.2581,-119.2691,306.89,25,15,1.03,CA,1687991111
232,al wajh,26.2455,36.4525,301.12,78,0,3.6,SA,1687991352
233,velingrad,42.0272,23.9957,285.86,99,99,1.34,BG,1687991353
234,senanga,-16.1167,23.2667,289.12,38,13,2.33,ZM,1687991255
235,kruisfontein,-34.0033,24.7314,284.75,53,100,3.48,ZA,1687991353
236,dapa,9.7594,126.0531,300.93,76,50,1.39,PH,1687991353
237,east london,-33.0153,27.9116,289.41,74,36,2.63,ZA,1687990990
238,ngaruawahia,-37.6674,175.1555,287.27,80,15,7.15,NZ,1687991354
239,carnarvon,-24.8667,113.6333,285.82,52,0,7.88,AU,1687991179
240,desaguadero,-16.5656,-69.0417,282.91,27,0,3.85,PE,1687991354
241,sainte-rose,16.3324,-61.6979,300.17,83,75,2.06,GP,1687991354
242,gizo,-8.103,156.8419,300.59,83,100,6.95,SB,1687991355
243,ta`u,-14.2336,-169.5144,300.22,77,63,1.62,AS,1687991185
244,akureyri,65.6835,-18.0878,283.11,71,75,6.17,IS,1687991355
245,camayenne,9.535,-13.6878,300.2,89,75,5.14,GN,1687991355
246,uvira,-3.4067,29.1458,296.93,75,58,1.31,CD,1687991356
247,ichinohe,40.2069,141.3017,293.46,97,100,1.55,JP,1687991356
248,ilulissat,69.2167,-51.1,281.16,71,19,1.03,GL,1687991121
249,fuqing,25.725,119.3794,301.02,85,98,1.91,CN,1687991357
250,brookings,44.3114,-96.7984,300.99,62,75,4.63,US,1687991357
251,matai,-8.3,31.5167,289.78,63,99,1.71,TZ,1687991357
252,phuthaditjhaba,-28.5242,28.8158,280.66,87,98,1.19,ZA,1687991357
253,ghadamis,30.1337,9.5007,304.4,15,71,4.96,LY,1687991357
254,iskateley,67.6803,53.1512,280.0,73,100,0.91,RU,1687991141
255,papao,-17.75,-149.55,300.97,79,5,9.59,PF,1687991251
256,yamethin,20.4333,96.15,298.67,82,41,2.36,MM,1687991358
257,strezhevoy,60.7333,77.5889,285.37,79,98,5.08,RU,1687991358
258,obo,5.3998,26.4869,294.42,86,74,1.59,CF,1687991359
259,port lincoln,-34.7333,135.8667,284.61,72,100,3.9,AU,1687991123
260,libreville,0.3925,9.4537,298.16,78,75,3.09,GA,1687991359
261,kailua-kona,19.6406,-155.9956,301.64,71,100,2.57,US,1687991110
262,bogandinskiy,56.8937,65.8938,287.33,80,84,2.83,RU,1687991359
263,siquijor,9.2142,123.515,298.1,75,100,1.67,PH,1687991360
264,coahuayana de hidalgo,18.7,-103.6583,304.46,65,56,3.39,MX,1687991360
265,petra,30.3222,35.4793,292.2,49,0,2.96,JO,1687991360
266,grand falls-windsor,48.9332,-55.6649,294.22,88,91,6.43,CA,1687991202
267,grange,-34.9,138.4833,282.56,91,40,2.57,AU,1687991361
268,ciudad lazaro cardenas,17.9583,-102.2,304.25,62,48,4.3,MX,1687991317
269,cabo san lucas,22.8909,-109.9124,308.49,46,0,8.23,MX,1687991090
270,kharhial,20.2833,82.7667,299.63,81,100,2.16,IN,1687991362
271,cascais,38.6979,-9.4215,295.07,75,20,15.65,PT,1687991362
272,melfort,52.8667,-104.6177,294.22,52,66,3.09,CA,1687991362
273,jerseyville,39.12,-90.3285,306.89,43,84,6.07,US,1687991363
274,longyearbyen,78.2186,15.6401,280.06,87,100,3.6,SJ,1687991129
275,baukau,51.5526,7.2042,294.21,67,100,4.92,DE,1687991363
276,igarka,67.4667,86.5833,284.9,61,90,2.84,RU,1687991363
277,kalmunai,7.4167,81.8167,299.45,82,74,3.24,LK,1687991237
278,trogir,43.5125,16.2517,294.18,49,0,2.57,HR,1687991364
279,kapoeta,4.7717,33.5903,299.36,53,95,1.72,SS,1687991364
280,saraykent,39.6936,35.5111,290.22,73,44,0.93,TR,1687991364
281,maysville,38.6412,-83.7444,301.16,47,0,0.0,US,1687991210
282,kenai,60.5544,-151.2583,288.16,85,100,4.12,US,1687991365
283,vilyuysk,63.7553,121.6247,296.57,66,99,1.54,RU,1687991175
284,dzhambeyty,50.2536,52.595,291.22,49,55,4.28,KZ,1687991365
285,gambela,8.25,34.5833,297.31,79,100,1.2,ET,1687991365
286,pisco,-13.7,-76.2167,294.18,68,0,3.09,PE,1687991178
287,rio gallegos,-51.6226,-69.2181,275.18,100,75,2.06,AR,1687991088
288,khabarovsk,48.4808,135.0928,296.04,68,0,3.13,RU,1687991366
289,miri,4.4148,114.0089,299.23,89,20,3.09,MY,1687991366
290,kalinovskaya,43.5758,45.5192,294.75,57,36,0.16,RU,1687991367
291,mazagao,-0.115,-51.2894,299.18,91,46,1.46,BR,1687991367
292,la passe,45.5549,-0.8967,294.25,74,39,4.46,FR,1687991231
293,ouesso,1.6136,16.0517,295.62,96,100,1.03,CG,1687991367
294,plymouth,41.8334,-70.8328,299.05,81,20,3.09,US,1687991367
